Ana Kategori	Alt Kategori	Alt?n Alt Kategori	Kategori Komisyon % (KDV Dahil)
Ev	Sofra & Mutfak	Mutfak Gereçleri	21%
Ev	Sofra & Mutfak	Mutfak Gereçleri	21%
Ev	Sofra & Mutfak	Pişirme-Hazırlama	20%
Ev	Sofra & Mutfak	Pişirme-Hazırlama	20%
Ev	Sofra & Mutfak	Sofra Grubu	21%
Ev	Sofra & Mutfak	Sofra Grubu	21%
Giyim	Giyim	Spor Giyim	21.5%
Giyim	Giyim	Spor Giyim	21.5%
Giyim	Giyim	Spor Giyim	21.5%
Giyim	Giyim	Üst Giyim, Alt Giyim, Çocuk, İç Giyim, Dış Giyim, Mayo	21.5%
Giyim	Giyim	Üst Giyim, Alt Giyim, Çocuk, İç Giyim, Dış Giyim, Mayo	21.5%
Giyim	Giyim	Üst Giyim, Alt Giyim, Çocuk, İç Giyim, Dış Giyim, Mayo	21.5%
Hobi & Eğlence	Drone	Drone	12%
Hobi & Eğlence	Drone Aksesuarı	Drone Aksesuarı	18.5%
Hobi & Eğlence	Film	Film	11%
Hobi & Eğlence	Hobi Malzemeleri	Hobi Malzemeleri	20.5%
Hobi & Eğlence	Müzik Alet ve Ekipmanları, Müzik Albümü	Diğer Müzik Alet ve Ekipmanları, Müzik Albümü	15%
Hobi & Eğlence	Müzik Alet ve Ekipmanları, Müzik Albümü	Gitar, Piyano, Plak, Org, Keman, DJ Urunleri, Mikrofon ve Aksesuarlar, Bağlama, Kayıt Teknolojileri, Amfi, Bateri, Stüdyo Kulaklık, Klarnet, Plak	15%
Hobi & Eğlence	Parti ve Yılbaşı Ürünleri	Led Işık, Düğün & Kına & Nikah, Diğer Parti Ürünleri	20.5%
Hobi & Eğlence	Parti ve Yılbaşı Ürünleri	Yılbaşı Ağacı, Yılbaşı Süsleri, Diğer Yılbaşı Ürünleri	19%
Hobi & Eğlence	Pikap & Gramofon	Pikap & Gramofon	15%
Hobi & Eğlence	RC Araç ve Aksesuarlar	RC Araç ve Aksesuarlar	19%
Hobi & Eğlence	Yetişkin Hobi ve Oyun	Diğer Yetişkin Hobi ve Oyun	20%
Hobi & Eğlence	Yetişkin Hobi ve Oyun	Hediyelik Ürün, Oyun Grupları	20%
Hobi & Eğlence	Çakmaklar	Çakmaklar	20.5%
Kitap	E-Kitap	E-Kitap Akseuarları	10%
Kitap	Kitap	Aktivite Eğitici Kitaplar	15.5%
Kitap	Kitap	Din Kitabı	15.5%
Kitap	Kitap	Diğer Kitaplar	15.5%
Kitap	Kitap	Eğitim Kitapları	15.5%
Kitap	Kitap	Roman, Kişisel Gelişim Kitapları	15.5%
Kitap	Kitap	Çizgi Roman, Dergi ve Gazete	15.5%
Kitap	Kitap	Çocuk ve Ebeveyn Kitapları	15.5%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Ağda ve Epilasyon	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Ağız Bakım	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Banyo & Duş Ürünleri, Kolonya, Ayak Bakımı, El & Tırnak Bakımı, Vücut Spreyi	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Diş Macunu	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Günlük Ped, Hijyenik Ped	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Islak Tıraş	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Kadın Hijyen	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Saç Bakım	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Tıraş Bıçağı	19%
Kozmetik & Kişisel Bakım	Kişisel Bakım	Şarj Edebilir Diş Fırçası/Pilli Diş Fırçası ve Başlıkları, Ağız Duşu	17%
Kozmetik & Kişisel Bakım	Kozmetik	Cilt Bakım	19%
Kozmetik & Kişisel Bakım	Kozmetik	Makyaj	19%
Kozmetik & Kişisel Bakım	Kozmetik	Parfüm ve Deodorant	19%
